"","zip","Case.Type","Case.Number","Status","Source","Incident.Date","Incident.Time","Incident.Location.Type","Incident.Location","Incident.City","Incident.State","Incident.County","Child.ID.1","Child.ID.2","Child.ID.3","Child.ID.4","Child.ID.5","Child.ID.6","Child.Race.1","Child.Race.2","Child.Race.3","Child.Race.4","Child.Race.5","Child.Race.6","Child.Gender.1","Child.Gender.2","Child.Gender.3","Child.Gender.4","Child.Gender.5","Child.Gender.6","Child.Perceived.Age.1","Child.Perceived.Age.2","Child.Perceived.Age.3","Child.Perceived.Age.4","Child.Perceived.Age.5","Child.Perceived.Age.6","Offender.Gender.1","Offender.Gender.2","Offender.Gender.3","Offender.Race.1","Offender.Race.2","Offender.Race.3","Offender.Age.1","Offender.Age.2","Offender.Age.3","Offender.Perceived.Age.1","Offender.Perceived.Age.2","Offender.Perceived.Age.3","Vehicle.Style.1","Vehicle.Style.2","Vehicle.Color.1","Vehicle.Color.2","How.Got.Away","How.Got.Away.Detail","Offender.Method.Animal","Offender.Method.Candy","Offender.Method.Money","Offender.Method.Ride","Offender.Method.Other","Offender.Method.Other.Detail","city","state","latitude","longitude"
"1",10011,"Attempted Abduction",1231389,"Closed","Internet",NA,"3:45 PM","Street","140 8th Ave","New York","NY","New York",507686,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","Infant","","","","","","Female","","","White","","","47",NA,NA,"","","","","","","","Adult/Child Intervened","Multiple adults intervened",0,0,0,0,1,"None","New York","NY",40.741012,-74.00012
"2",10019,"Attempted Abduction",1254894,"Closed","Internet",NA,"11:00 AM","Trans Facility","7th Ave & W 53rd St","New York","NY","New York",543803,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","1","","","","","","Male","","","Black","","","",NA,NA,"50-59","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"Questions; Compliment","New York","NY",40.765714,-73.9856
"3",10021,"Attempted Abduction",1279213,"Closed","Internet",NA,"5:00 PM","Street","E 72nd St & 1st Ave","New York","NY","New York",577644,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","5 month","","","","","","Male","","","Unknown","","","",NA,NA,"Unknown","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"Compliment","New York","NY",40.76842,-73.96045
"4",10022,"Attempted Abduction",1248496,"Closed","Internet",2015-12-05,"10:30 AM","Playgrnd","W 84th St & W 85th St","New York","NY","New York",533566,533568,NA,NA,NA,NA,"Unknown","Unknown","","","","","Male","Male","","","","","2","Unknown","","","","","Female","","","Black","","","35",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","New York","NY",40.759015,-73.96732
"5",10023,"Attempted Abduction",1200435,"Closed","Internet",NA,"12:00 AM","Street","West 61st St","New York","NY","New York City",469692,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","11","","","","","","Male","","","White","","","",NA,NA,"40-50","","","","","","","Fought/Broke Free","",0,0,0,0,1,"None","New York","NY",40.776099,-73.98285
"6",10024,"Attempted Abduction",1250835,"Closed","Internet",NA,"12:00 AM","School - Facility","160 W 78th St","New York","NY","New York",537182,537183,NA,NA,NA,NA,"Unknown","Unknown","","","","","Unknown","Unknown","","","","","Unknown","Unknown","","","","","Male","","","Unknown","","","",NA,NA,"Unknown","","","Sport Utility","","Black","","Ignored/Refused","",0,1,0,0,0,"","New York","NY",40.786387,-73.97709
"7",10029,"Attempted Abduction",1272427,"Closed","Internet",2016-07-07,"11:15 PM","Home - Residence","1st Ave & E 108th St","New York","NY","New York",568495,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","8","","","","","","Male","","","Hispanic","","","",NA,NA,"20-29","","","","","","","Fought/Broke Free","Suspect fled the area",0,0,0,0,1,"None","New York","NY",40.791586,-73.94575
"8",10102,"Attempted Abduction",1219496,"Closed","Internet",NA,"12:00 AM","Street","W Tilghman St & N 15th St","Allentown","PA","Lehigh",491133,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","13","","","","","","Male","","","Hispanic","","","30",NA,NA,"","","","","","Blue, Light","","Ignored/Refused","",0,0,0,1,0,"","New York","NY",40.780751,-73.977182
"9",10308,"Attempted Abduction",1253325,"Closed","Internet",2015-09-08,"3:00 AM","Home - Residence","Unknown","Staten Island","NY","New York",541422,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","7","","","","","","Male","","","Hispanic","","","32",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Staten Island","NY",40.551353,-74.15098
"10",10309,"Attempted Abduction",1280522,"Closed","Internet",NA,"5:30 PM","Retail - Mall/ Shop Ctr","Penton St & Amboy Rd","Staten Island","NY","New York",579447,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","8","","","","","","Male","","","Unknown","","","24",NA,NA,"","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"Question","Staten Island","NY",40.529749,-74.21304
"11",10451,"Attempted Abduction",1270475,"Closed","Internet",2016-10-05,"9:27 PM","Recreational - Other","Jerome Ave","Bronx","NY","New York",565763,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","6","","","","","","Male","","","White","","","",NA,NA,"30","","","Sport Utility","","Black","","Adult/Child Intervened","",0,0,0,0,1,"None","Bronx","NY",40.819729,-73.9223
"12",10467,"Attempted Abduction",1279963,"Closed","Internet",NA,"4:00 AM","Park","Bronx Blvd & E 213th St","Bronx","NY","New York",578727,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","15","","","","","","Male","","","Black","","","27",NA,NA,"","","","","","","","Other","The suspect fled",0,0,0,0,1,"Unknown","Bronx","NY",40.872265,-73.86937
"13",10468,"Attempted Abduction",1211536,"Closed","Internet",NA,"12:00 AM","Street","Unknown","Bronx","NY","New York City",481921,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","8","","","","","","Male","","","Black","","","",NA,NA,"20-30","","","","","","","Ran Away","",0,0,0,0,1,"None","Bronx","NY",40.867107,-73.89916
"14",10472,"Attempted Abduction",1255368,"Closed","Internet",NA,"2:30 PM","Street","1403 Taylor Ave","Bronx","NY","New York",544464,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","13","","","","","","Male","Male","","Unknown","Black","","",45,NA,"","","","","","Gray","","Fought/Broke Free","Ran away; Adult intervened",0,0,0,0,1,"None","Bronx","NY",40.830409,-73.86845
"15",10473,"Attempted Abduction",1224262,"Closed","Internet",2013-12-10,"7:30 AM","School - Bus Stop","Randall Ave and Olmstead Ave","Bronx","NY","New York City",497192,NA,NA,NA,NA,NA,"Hispanic","","","","","","Female","","","","","","16","","","","","","Male","","","Hispanic","","","",NA,NA,"Unknown","","","Van","","White","","Fought/Broke Free","",0,0,0,0,1,"None","Bronx","NY",40.818514,-73.85893
"16",10473,"Attempted Abduction",1228307,"Closed","Internet",NA,"4:00 PM","Street","Castle Hill Ave & Lafayette Ave","Bronx","NY","New York",503196,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","11","","","","","","Male","","","Hispanic","","","",NA,NA,"18","","","Van","","Blue","","Fought/Broke Free","",0,0,0,0,1,"None","Bronx","NY",40.818514,-73.85893
"17",10475,"Attempted Abduction",1195713,"Closed","Internet",2012-11-05,"7:00 AM","School - Facility","4140 Hutchinson River Parkway East","Bronx","NY","New York City",464477,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","6","","","","","","Male","","","Unknown","","","",NA,NA,"Unknown","","","","","","","Adult/Child Intervened","",0,0,0,0,1,"None","Bronx","NY",40.878522,-73.82541
