"incident_zip","case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount","Latitude","Longitude"
1001,"Attempted Abduction",1269786,"Closed","2016-06-06","20:00","Attempted Abduction","Street","100 Walnut St","Agawam","MA","Hampden","Agawam (MA) PD","564790","White","Female","9","Male","Black",NA,"20-29","Van",NA,"other","None",NA,"Ran Away","The child was able to break free",1,1,42.0702,-72.6227
1002,"Attempted Abduction",1119978,"Closed","2009-03-18","14:30","Suspicious Incident","Street","Strong St & Hills Rd","Amherst Center","MA","Hampshire","Amherst (MA) PD","380104","Unknown","Female","Unknown","Male","Black",NA,"Unknown","Sedan, 4 door","Silver","other","Unknown",NA,"Ran Away",NA,1,1,42.3671,-72.4646
1020,"Attempted Abduction",1087909,"Closed","2008-01-04","14:30","Attempted Abduction","School - Facility","617 Montgomery St - Chicopee Comp HS","Chicopee","MA","Hampden","Chicopee (MA) PD","344246","White","Female","15","Male","White",NA,"30-39","Pickup Truck","White","other","Conversation",NA,"Adult Intervened",NA,1,1,42.1764,-72.5761
1020,"Attempted Abduction",1271361,"Closed","2016-06-13","02:20","Attempted Abduction","Street","Warwick Road","Chicopee","MA","Hampden","Chicopee (MA) PD","567015","Unknown","Unknown","Unknown","Male","Unknown",NA,"Unknown",NA,NA,"other","None",NA,"Adult/Child Intervened",NA,1,1,42.1764,-72.5761
1020,"Attempted Abduction",1034213,"Closed","2005-12-15","19:00","Attempted Abduction","Retail - Mall/ Shop Ctr","591 Memorial Dr - Wal Mart","Chicopee","MA","Hampden","Chicopee (MA) PD","285891/345743","Unknown/Unknown","Female/Male","Infant/4","Male","White","32",NA,NA,NA,"other","None",NA,"Adult Intervened",NA,2,1,42.1764,-72.5761
1035,"Attempted Abduction",1277003,"Closed","2016-09-11","16:00","Attempted Abduction","Street","Stockwell Rd","Hadley","MA","Hampshire","Hadley (MA) PD","574810","Unknown","Female","11","Male","Hispanic",NA,"Unknown","Van","Gold","animal/other","Help",NA,"Ran Away",NA,1,1,42.3606,-72.5715
1035,"Attempted Abduction",1119975,"Closed","2009-03-11","00:00","Suspicious Incident","Street","Shattuck Rd & Gooseberry Ln","Hadley","MA","Hampshire","Hadley (MA) PD","380092","Unknown","Female","Unknown","Male","White",NA,"35-40",NA,"Tan","other","None",NA,"Ran Away",NA,1,1,42.3606,-72.5715
1040,"Attempted Abduction",1131430,"Closed","2009-09-09","00:00","Attempted Abduction","Street","Appleton St","Holyoke","MA","Hampden","Holyoke (MA) PD","392990","Unknown","Female","Unknown","Male","White",NA,"30-39","Pickup Truck","Green","other","None",NA,"Ran Away",NA,1,1,42.202,-72.6262
1056,"Attempted Abduction",1302455,"Closed","2017-07-11","00:00","Suspicious Incident","Playgrnd","Chestnut St & Sewall St","Ludlow","MA","Hampden","Ludlow (MA) PD","608388/608399/608400","Unknown/Unknown/Unknown","Female/Unknown/Unknown","12/Unknown/Unknown","Male/Female","White/White",NA,"Unknown/33-37",NA,NA,"other","Conversation",NA,"Unknown",NA,3,2,42.1728,-72.471
1075,"Attempted Abduction",1214226,"Closed","2013-04-10","00:00","Attempted Abduction","Home - Residence","San Souci Dr & Sunrise Cir","South Hadley","MA","Hampshire","South Hadley (MA) PD","485068/485070","Unknown/Unknown","Female/Female","Unknown/Unknown","Male","White",NA,"Unknown","Sport Utility","Black","other","None",NA,"Ran Away",NA,2,1,42.2375,-72.5811
