"case_type","case_number","status","incident_date","incident_time","incident_type","incident_location_type","incident_location","incident_city","incident_state","incident_zip","incident_county","LEA","child_id","child_race","child_gender","child_perceived_age","offender_gender","offender_race","offender_age","offender_perceived_age","vehicle_style","vehicle_color","offender_method","offender_method_detail","offender_statement","how_got_away","how_got_away_detail","child_amount","offender_amount"
"Attempted Abduction",1083753,"Closed","2003-04-24","00:00","Attempted Abduction","Street","Coryell Street","Mesquite","TX",75149,"Dallas","Mesquite (TX) PD","339258","Black","Male","15","Male","White",NA,"17-30","Van","White",NA,NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.",NA,NA,1,1
"Attempted Abduction",1084210,"Closed","2002-12-13","00:00","Attempted Abduction","Street","E. Mark and Hamilton","Marion","OH",43301,"Marion","Marion (OH) PD","339862","White","Female","13","Male","White",NA,"20-29","Sedan, 4 door","White",NA,NA,"TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1083356,"Closed","2003-02-07","11:00","Attempted Abduction","Street",NA,"Fruit Cove","FL",32259,"Saint Johns","St. John's Co (FL) SO","338812","Unknown","Female","10","Male","Black",NA,"30-40","Sedan, 2 door","White",NA,NA,"TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1001538,"Closed","2003-05-05","00:00","Exposure","Street","800 West Wheatland R","Duncanville","TX",75116,"Dallas","Duncanville (TX) PD","249047","Black","Female","14","Male","Hispanic",NA,"20-25","Pickup Truck","White","other","Directions","TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1001716,"Closed","2003-11-01","00:00","Exposure","Home - Residence","400 Lennox","Stephenville","TX",76401,"Erath","Stephenville (TX) PD","249231","White","Female","8","Male","White",NA,"20-30",NA,"Green, Dark",NA,NA,"TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1082845,"Closed","2004-02-17","00:00","Attempted Abduction","Street","E. Princess Street","York","PA",17315,"York","York (PA) PD","338228","Unknown","Female","Unknown","Male","Unknown",NA,NA,NA,NA,"ride",NA,"TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1304915,"Closed","2017-08-04","20:50","Attempted Abduction","Body of Water","NE Linda Dr & NE Sunview Ter","Jensen Beach","FL",34957,"Martin","Martin County (FL) SO","611711","Unknown","Male","11","Male","Unknown",NA,NA,NA,NA,"other","None","TEST STATEMENT - Subject asked child several times if she wanted a ride.",NA,NA,1,1
"Attempted Abduction",1099516,"Closed","2008-06-28","23:50","Attempted Abduction","Street","Rothman Rd & Maplecrest Rd","Fort Wayne","IN",46835,"Allen","Fort Wayne (IN) PD","357406/357408","Unknown/Unknown","Female/Female","12/14","Male/Male","Unknown/Unknown",NA,"Unknown/30-38","Van","Maroon","other","Unknown","TEST STATEMENT - Subject asked child several times if she wanted a ride.","Adult Intervened",NA,2,2
"Attempted Abduction",1130263,"Closed","2009-08-26","12:30","Attempted Abduction","Home - Residence","8300 49th Loop SE","Olympia","WA",98513,"Thurston","Thurston Co (WA) SO","391695/391698/391699","Unknown/Unknown/Unknown","Unknown/Unknown/Unknown","5/3/Infant","Male","White",NA,"45-49","Van","White","other","Court order","TEST STATEMENT - Subject asked child several times if she wanted a ride.","Adult Intervened",NA,3,1
"Attempted Abduction",1121443,"Closed","2009-04-26","00:00","Attempted Abduction","Home - Residence","4200 Solun Rd","Indianapolis","IN",46221,"Marion","Indianapolis Metro (IN) PD","381767/381768","Unknown/Unknown","Female/Female","13/3","Male","White",NA,"40-45","Van","Blue","animal",NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,2,1
"Attempted Abduction",1092221,"Closed","2008-03-07","00:00","Attempted Abduction","Street","Brisbane Cir & Fitzroy Pl","El Dorado Hills","CA",95762,"El Dorado","El Dorado Co (CA) SO","349271","Unknown","Unknown","Unknown","Male","White",NA,"40-49","Van","Black","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1101997,"Closed","2008-07-28","14:00","Attempted Abduction","Home - Residence","2100 Bowler St","Philadelphia","PA",19115,"Philadelphia","Philadelphia (PA) PD","360222","Unknown","Male","4","Male","White",NA,"60-69","Van","White","other","None","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1102135,"Closed","2008-08-01","14:50","Attempted Abduction","Street","4100 Baxter Ridge Dr","Prince George","VA",23875,"Prince George","Prince George Co (VA) PD","360377","Unknown","Male","10","Male","White","40",NA,"Van",NA,"ride",NA,"TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
"Attempted Abduction",1117504,"Closed","2009-03-05","11:00","Attempted Abduction","Parking Lot/Garage","16500 Conneaut Lake Rd","Vernon","PA",16316,"Crawford","Vernon Twp (PA) PD","377391","Unknown","Unknown","Unknown","Male","White",NA,"52-57","Van","Red","other","Unknown","TEST STATEMENT - Subject told child the female restroom was occupied, but she could use the men's room.  Then said, \Hey come here\ when she walked away.","Adult Intervened",NA,1,1
