"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1061666,"Lost Injured Missing","01/14/2007",0,"Male","White","San Antonio","TX","78210",NA,NA
1065769,"Lost Injured Missing","02/24/2007",0,"Female","Hispanic","Dallas","TX","75220",NA,NA
1068366,"Lost Injured Missing","01/07/2007",0,"Female","White","Pleasant Dale","NE","68423",NA,NA
1068366,"Lost Injured Missing","01/07/2007",0,"Female","White","Pleasant Dale","NE","68423",NA,NA
1068515,"Lost Injured Missing","04/13/2007",0,"Female","White","Perry","UT","84302",NA,NA
1073836,"Lost Injured Missing","06/23/2007",0,"Male","Hispanic","Colorado Springs","CO","80911","Sedan, 2 door","Gold"
1074189,"Lost Injured Missing","04/24/2007",0,"Male","Black","Milwaukee","WI","53212",NA,NA
1074340,"Lost Injured Missing","06/26/2007",0,"Male","Black","Peoria","IL","61603",NA,NA
1081955,"Lost Injured Missing","10/18/2007",0,"Female","White","Spring Lake","NC","28390",NA,NA
1083005,"Lost Injured Missing","10/27/2007",0,"Female","Hispanic","Coolidge","AZ","85228",NA,NA
1088154,"Lost Injured Missing","01/23/2008",0,"Male","Hispanic","Chicago","IL","60618",NA,NA
1090841,"Lost Injured Missing","03/10/2008",0,"Female","White","Jefferson","WV","25177",NA,"Blue, Dark"
1090841,"Lost Injured Missing","03/10/2008",0,"Female","White","Jefferson","WV","25177",NA,"Blue, Dark"
1090841,"Lost Injured Missing","03/10/2008",0,"Female","White","Jefferson","WV","25177",NA,"Blue, Dark"
1091315,"Lost Injured Missing","02/15/2008",0,"Female","Black","Bronx","NY","10466-2328",NA,NA
1091315,"Lost Injured Missing","02/15/2008",0,"Female","Black","Bronx","NY","10466-2328",NA,NA
1113537,"Lost Injured Missing","12/23/2008",0,"Male","Am. Ind.","Billings","MT","59101",NA,NA
1130064,"Lost Injured Missing","08/28/2009",0,"Male","White","Ferndale","WA","98248",NA,NA
1134556,"Lost Injured Missing","10/31/2009",0,"Female","White","Chipley","FL",NA,NA,NA
1137894,"Lost Injured Missing","12/27/2009",0,"Male","White","Tempe","AZ","85282","Sedan, 4 door","White"
1137894,"Lost Injured Missing","12/27/2009",0,"Male","White","Tempe","AZ","85282","Sedan, 4 door","White"
1141523,"Lost Injured Missing","02/16/2010",0,"Female","Black","East Orange","NJ","07018",NA,"Red"
1145825,"Lost Injured Missing","04/21/2010",0,"Male","Asian","Houston","TX","77002","Sedan, 2 door","Beige"
1154574,"Lost Injured Missing","08/20/2010",0,"Male","Unknown","San Juan","TX",NA,"Pickup Truck","Red"
1159833,"Lost Injured Missing","10/30/2010",0,"Female","White","Billings","MO","65610",NA,NA
1161260,"Lost Injured Missing","12/02/2010",0,"Male","White","Merced","CA",NA,NA,NA
1161260,"Lost Injured Missing","12/02/2010",0,"Male","White","Merced","CA",NA,NA,NA
1161260,"Lost Injured Missing","12/02/2010",0,"Male","White","Merced","CA",NA,NA,NA
1162015,"Lost Injured Missing","12/14/2010",0,"Female","White","Port Orange","FL",NA,"Sport Utility","Black"
1168378,"Lost Injured Missing","03/12/2011",0,"Female","Hispanic","Stafford","TX","77477","Sedan, 4 door","Blue, Dark"
1171321,"Lost Injured Missing","05/01/2011",0,"Female","Biracial","Millersville","TN",NA,NA,NA
1171321,"Lost Injured Missing","05/01/2011",0,"Female","Biracial","Millersville","TN",NA,NA,NA
1174834,"Lost Injured Missing","06/29/2011",0,"Female","White","Ludington","MI","49431","Sedan, 4 door","Silver"
1179147,"Lost Injured Missing","09/04/2011",0,"Female","Black","Los Angeles","CA","90019",NA,NA
1180911,"Lost Injured Missing","10/03/2011",0,"Female","White","Kansas City","MO","64104",NA,NA
1190208,"Lost Injured Missing","02/16/2012",0,"Male","White","Petoskey","MI","49770","Pickup Truck","Silver"
1191632,"Lost Injured Missing","04/01/2011",0,"Male","Black","Elk Grove","CA",NA,NA,NA
1191632,"Lost Injured Missing","04/01/2011",0,"Male","Black","Elk Grove","CA",NA,NA,NA
1194141,"Lost Injured Missing","04/12/2012",0,"Male","White","Orange","CA","92867",NA,NA
1197097,"Lost Injured Missing","06/13/2012",0,"Male","Biracial","Ripley","TN","38063",NA,"Gray"
1204111,"Lost Injured Missing","10/06/2012",0,"Female","White","Wauconda","IL","60084",NA,"Black"
1204804,"Lost Injured Missing","10/22/2012",0,"Female","Asian","King of Prussia","PA",NA,NA,NA
1205249,"Lost Injured Missing","10/29/2012",0,"Female","Hispanic","Hanford","CA","93230",NA,NA
1205377,"Lost Injured Missing","10/29/2012",0,"Male","Biracial","Staten Island","NY","10304",NA,NA
1205377,"Lost Injured Missing","10/29/2012",0,"Male","Biracial","Staten Island","NY","10304",NA,NA
1205377,"Lost Injured Missing","10/29/2012",0,"Male","Biracial","Staten Island","NY","10304",NA,NA
