Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1199539,Closed,Internet,7/23/2012,8:15 PM,Street,Unknown,Park Hills,MO,63601,St. Francois,468714,468720,468721,468725,468728,468730,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Female,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Male,Male,,White,White,,22,,,,Unknown,,,,Black,,Ran Away,,0,0,0,0,-1,Directions
Attempted Abduction,1245419,Closed,Internet,3/13/2015,8:15 AM,Other,Hawk Ln & Wren Rd,Suffolk,VA,23434,Suffolk City,528572,528962,528963,528964,528965,528966,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14-16,14-16,14-16,14-16,14-16,14-16,Male,,,Black,,,57,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1248282,Closed,Internet,5/2/2015,7:22 PM,Street,S May Ave & SW 48th St,Oklahoma City,OK,73119,Oklahoma,533246,533248,533249,533250,533251,533252,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7,11,Unknown,Unknown,Unknown,Unknown,Male,,,White,,,57,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1272357,Closed,Internet,7/3/2016,12:00 AM,Recreational - Other,1145 Buena Vista Dr,Orlando,FL,32830,Orange,568392,568395,568396,568397,568398,568399,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12,16,Unknown,Unknown,Unknown,Unknown,Male,,,Unknown,,,27,,,,,,,,,,Other,Suspect left the area,0,0,0,0,-1,
Attempted Abduction,1244931,Closed,Internet,2/19/2015,7:00 PM,Religious Facility,555 Waverley St,Palo Alto,CA,94301,Santa Clara,527748,527749,527750,527751,527754,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,Male,Male,Male,Female,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,,,White,,,64,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1259250,Closed,Internet,12/7/2015,12:00 AM,School - Bus Stop,E 3rd Ave & N Greensferry Rd,Post Falls,ID,83854,Kootenai,549779,549788,549789,549790,549791,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,,,Unknown,,,,,,35-45,,,,,,,Adult/Child Intervened,Ran away,-1,0,0,0,-1,Waved
Attempted Abduction,1265353,Closed,Internet,3/26/2016,4:00 PM,Street,200 S Woodlawn St,St. Augustine,FL,32084,St. Johns,558498,558499,558500,558501,558502,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,,,Black,,,51,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1275257,Closed,Internet,8/21/2016,6:10 PM,Street,1400 Woodlawn Rd,Glenview,IL,60025,Cook,572432,572442,572443,572444,572445,,Unknown,Unknown,Unknown,Unknown,Unknown,,Female,Female,Female,Female,Female,,Unknown,Unknown,Unknown,Unknown,Unknown,,Male,,,White,,,,,,50-55,,,,,Gray,,Ran Away,Refused,0,0,0,-1,-1,Question
Attempted Abduction,1187091,Closed,Internet,1/3/2012,12:00 AM,Street,N Milwaukee Ave & N Drake Ave,Chicago,IL,60618,Cook,455064,455065,455066,455067,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,26,,,,,,,,White,,Ignored/Refused,,0,0,0,0,-1,Impersonate Police
Attempted Abduction,1190890,Closed,Internet,2/19/2012,7:00 PM,Playgrnd,Derwyn Rd & Highland Ave,Drexel Hill,PA,19026,Delaware,459275,459276,459277,459278,,,Unknown,Unknown,Unknown,Unknown,,,Male,Male,Male,Male,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,,,,50-59,,,Van,,,,Ran Away,,0,0,0,0,-1,Questions
Attempted Abduction,1192607,Closed,Internet,3/10/2012,11:00 AM,Trans Facility,Address Unknown,Honolulu,HI,,Honolulu,461138,461139,461140,461141,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,Unknown,,,,,,,,,,None,,0,0,0,0,-1,None
Attempted Abduction,1194369,Closed,Internet,5/2/2012,12:00 AM,Street,Rte 30,East Mckeesport,PA,15035,Allegheny,463023,463024,463025,463026,,,Unknown,Unknown,Unknown,Unknown,,,Male,Male,Male,Male,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,49,,,,,,Sport Utility,,Black,,Ignored/Refused,,0,0,-1,-1,-1,Directions
Attempted Abduction,1198071,Closed,Internet,7/2/2012,9:30 PM,Street,8800  Emerald Av,Fontana,CA,92335,San Bernardino,467097,467098,467099,467100,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,8,10,Unknown,Unknown,,,Male,,,Hispanic,,,,,,35-40,,,,,Gray,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1198579,Closed,Internet,6/20/2012,2:45 PM,Home - Residence,7446 Noble Ct,Mentor,OH,44060,Lake,467647,467648,467649,467650,,,Unknown,Unknown,Unknown,Unknown,,,Male,Unknown,Unknown,Unknown,,,8,Unknown,Unknown,Unknown,,,Male,,,White,,,53,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Assistance
Attempted Abduction,1200897,Closed,Internet,8/16/2012,11:30 AM,Playgrnd,Browns Valley Rd,Napa,CA,94558,Napa,470195,470196,470197,470198,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,Hispanic,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1205384,Closed,Internet,10/24/2012,3:50 PM,Street,Tappan Rd & Birchwood Rd,Northvale,NJ,07647,Bergen,475113,475114,475115,475116,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Male,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,,,,20-30,,,"Sedan, 4 door",,Silver,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1207449,Closed,Internet,12/4/2012,3:29 PM,Street,Unknown,South Sioux City,NE,68776,Dakota,477377,477378,477379,477380,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,Male,,Hispanic,Hispanic,,,,,Unknown,22-28,,Pickup Truck,,Gray,,Unknown,,0,0,0,-1,0,
Attempted Abduction,1211154,Closed,Internet,2/15/2013,12:00 AM,School - Bus Stop,Unknown,Seguin,TX,78155,Guadalupe,481502,481503,481504,481505,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,10,Unknown,Unknown,Unknown,,,Male,,,White,,,68,,,,,,Pickup Truck,,,,Ignored/Refused,,0,0,0,-1,-1,20
Attempted Abduction,1215369,Closed,Internet,4/24/2013,5:00 PM,Street,39100 Welsh Ln,Beach Park,IL,60087,Lake,486360,486361,486362,486363,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,4,8,Unknown,Unknown,,,Male,,,White,,,29,,,,,,"Sedan, 4 door",,Black,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1218502,Closed,Internet,6/24/2013,12:00 AM,Home - Residence,Unknown,Salt Lake City,UT,84111,Salt Lake,489972,489973,489974,489975,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,3,8,11,Unknown,,,Male,,,White,,,45,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,
Attempted Abduction,1219918,Closed,Internet,7/7/2013,4:00 PM,Park,300 Woodlawn Dr,Fort Collins,CO,80524,Larimer,491628,491629,491631,491632,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,,,,50-59,,,,,,,Other,Suspect fled scene,0,0,0,0,-1,None
Attempted Abduction,1225782,Closed,Internet,11/20/2013,12:00 AM,Unknown,Unknown,Logan,OH,43138,Hocking,499477,499478,499479,499480,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,18,,,,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1240820,Closed,Internet,9/18/2014,12:00 AM,Playgrnd,98 Lefever St,Gettysburg,PA,17325,Adams,521574,521579,521580,521581,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,Unknown,,,60,,,,,,,,,,Other,The suspect went into his house after exposing himself to the children,0,0,0,0,-1,None
Attempted Abduction,1244598,Closed,Internet,2/17/2015,2:30 PM,Home - Residence,107 Phinizy St,Grovetown,GA,30813,Columbia,527247,527251,527252,527253,,,White,Biracial,Biracial,Biracial,,,Female,Female,Female,Female,,,3,4,6,8,,,Male,,,White,,,26,,,,,,,,,,Adult/Child Intervened,,0,0,-1,0,0,
Attempted Abduction,1246728,Closed,Internet,4/10/2015,7:30 AM,Street,S Texas Ave & Americana Blvd,Orlando,FL,32839,Orange,530603,530619,530620,530621,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,7,Unknown,Unknown,Unknown,,,Male,,,Black,,,,,,30-40,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1248500,Closed,Internet,4/28/2015,12:00 AM,Street,Barwick Rd,Delray Beach,FL,33445,Palm Beach,533588,533591,533592,533593,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,Black,,,25,,,,,,,,,,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1254586,Closed,Internet,9/5/2015,8:15 PM,Recreational - Other,1500 N 25th St,Harlingen,TX,78550,Cameron,543361,543371,543372,543373,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,Hispanic,,,26,,,,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1256228,Closed,Internet,10/14/2015,6:37 PM,Athletic Field,Crete Ave,Newburgh Heights,OH,44105,Cuyahoga,545608,545609,545610,545611,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,Female,,White,White,,,,,25-29,25-29,,Van,,Red,,Ignored/Refused,,0,0,0,0,-1,Invitation; Called over
Attempted Abduction,1260565,Closed,Internet,12/16/2015,3:30 PM,Street,1100 S Locust St,Oxford,OH,45056,Butler,551620,551621,551622,551623,,,Unknown,Unknown,Unknown,Unknown,,,Male,Male,Male,Male,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,White,,,46,,,,,,,,,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1260481,Closed,Internet,12/15/2015,8:00 PM,Library,301 2nd Ave North,Great Falls,MT,59401,Cascade,551504,551783,551784,551785,,,Unknown,Unknown,Unknown,Unknown,,,Female,Female,Female,Female,,,Unknown,Unknown,Unknown,Unknown,,,Male,,,Am. Ind.,,,52,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
